frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,hp,daggers
1,1776206707.838,436,848,9,17,0,0,standing,1,5,2
57,1776206708.741,432,848,9,17,-4,0,walking,1,5,2
58,1776206708.757,428,848,8,17,-4,0.55,walking,0,5,2
59,1776206708.773,424,848,8,17,-4,0,walking,1,5,2
60,1776206708.789,420,848,8,17,-4,0.55,walking,0,5,2
61,1776206708.805,416,848,8,17,-4,0,walking,1,5,2
62,1776206708.821,412,848,8,17,-4,0.55,walking,0,5,2
63,1776206708.837,408,848,8,17,-4,0,walking,1,5,2
64,1776206708.853,404,848,8,17,-4,0.55,walking,0,5,2
65,1776206708.869,400,848,8,17,-4,0,walking,1,5,2
66,1776206708.885,396,848,8,17,-4,0.55,walking,0,5,2
67,1776206708.901,392,848,8,17,-4,0,walking,1,5,2
68,1776206708.917,388,848,8,17,-4,0.55,walking,0,5,2
69,1776206708.933,384,848,8,17,-4,0,walking,1,5,2
70,1776206708.95,380,848,7,17,-4,0.55,walking,0,5,2
71,1776206708.965,376,848,7,17,-4,0,walking,1,5,2
72,1776206708.982,372,848,7,17,-4,0.55,walking,0,5,2
73,1776206708.998,368,848,7,17,-4,0,walking,1,5,2
74,1776206709.014,364,848,7,17,-4,0.55,walking,0,5,2
75,1776206709.031,360,848,7,17,-4,0,walking,1,5,2
76,1776206709.047,356,848,7,17,-4,0.55,walking,0,5,2
77,1776206709.062,352,848,7,17,-4,0,walking,1,5,2
78,1776206709.078,348,848,7,17,-4,0.55,walking,0,5,2
79,1776206709.095,344,848,7,17,-4,0,walking,1,5,2
80,1776206709.111,340,848,7,17,-4,0.55,walking,0,5,2
81,1776206709.126,336,848,7,17,-4,0,walking,1,5,2
82,1776206709.143,332,848,6,17,-4,0.55,walking,0,5,2
83,1776206709.16,328,848,6,17,-4,0,walking,1,5,2
84,1776206709.176,324,848,6,17,-4,0.55,walking,0,5,2
85,1776206709.192,320,848,6,17,-4,0,walking,1,5,2
86,1776206709.209,316,848,6,17,-4,0.55,walking,0,5,2
87,1776206709.224,312,848,6,17,-4,0,walking,1,5,2
88,1776206709.241,308,848,6,17,-4,0.55,walking,0,5,2
89,1776206709.256,304,848,6,17,-4,0,walking,1,5,2
90,1776206709.273,300,848,6,17,-4,0.55,walking,0,5,2
91,1776206709.288,296,848,6,17,-4,0,walking,1,5,2
92,1776206709.305,292,848,6,17,-4,0.55,walking,0,5,2
93,1776206709.322,288,848,6,17,-4,0,walking,1,5,2
94,1776206709.338,284,848,5,17,-4,0.55,walking,0,5,2
95,1776206709.353,280,848,5,17,-4,0,walking,1,5,2
105,1776206709.516,284,848,5,17,4,0,walking,1,5,2
106,1776206709.531,288,848,6,17,4,0.55,walking,0,5,2
107,1776206709.548,292,848,6,17,4,0,walking,1,5,2
108,1776206709.564,296,848,6,17,4,0.55,walking,0,5,2
109,1776206709.58,300,848,6,17,4,0,walking,1,5,2
110,1776206709.596,304,848,6,17,4,0.55,walking,0,5,2
111,1776206709.611,308,848,6,17,4,0,walking,1,5,2
112,1776206709.628,312,848,6,17,4,0.55,walking,0,5,2
113,1776206709.644,316,848,6,17,4,0,walking,1,5,2
114,1776206709.66,320,848,6,17,4,0.55,walking,0,5,2
115,1776206709.676,324,848,6,17,4,0,walking,1,5,2
116,1776206709.693,328,848,6,17,4,0.55,walking,0,5,2
117,1776206709.708,332,848,6,17,4,0,walking,1,5,2
118,1776206709.725,336,848,7,17,4,0.55,walking,0,5,2
119,1776206709.74,340,848,7,17,4,0,walking,1,5,2
120,1776206709.757,344,848,7,17,4,0.55,walking,0,5,2
121,1776206709.773,348,848,7,17,4,0,walking,1,5,2
122,1776206709.789,352,848,7,17,4,0.55,walking,0,5,2
123,1776206709.806,356,848,7,17,4,0,walking,1,5,2
124,1776206709.822,360,848,7,17,4,0.55,walking,0,5,2
125,1776206709.839,364,848,7,17,4,0,walking,1,5,2
126,1776206709.855,368,848,7,17,4,0.55,walking,0,5,2
127,1776206709.87,372,848,7,17,4,0,walking,1,5,2
128,1776206709.887,376,848,7,17,4,0.55,walking,0,5,2
129,1776206709.902,380,848,7,17,4,0,walking,1,5,2
130,1776206709.919,384,848,8,17,4,0.55,walking,0,5,2
131,1776206709.935,388,848,8,17,4,0,walking,1,5,2
132,1776206709.951,392,848,8,17,4,0.55,walking,0,5,2
133,1776206709.966,396,848,8,17,4,0,walking,1,5,2
134,1776206709.983,400,848,8,17,4,0.55,walking,0,5,2
135,1776206709.999,404,848,8,17,4,0,walking,1,5,2
136,1776206710.014,408,848,8,17,4,0.55,walking,0,5,2
137,1776206710.031,412,848,8,17,4,0,walking,1,5,2
138,1776206710.047,416,848,8,17,4,0.55,walking,0,5,2
139,1776206710.063,420,848,8,17,4,0,walking,1,5,2
140,1776206710.078,424,848,8,17,4,0.55,walking,0,5,2
141,1776206710.094,428,848,8,17,4,0,walking,1,5,2
142,1776206710.111,432,848,9,17,4,0.55,walking,0,5,2
143,1776206710.127,436,848,9,17,4,0,walking,1,5,2
144,1776206710.143,440,848,9,17,4,0.55,walking,0,5,2
145,1776206710.159,444,848,9,17,4,0,walking,1,5,2
146,1776206710.175,448,848,9,17,4,0.55,walking,0,5,2
147,1776206710.192,452,848,9,17,4,0,walking,1,5,2
148,1776206710.208,456,835,9,17,4,-13.45,walking,0,5,2
149,1776206710.223,460,823,9,17,4,-12.9,walking,0,5,2
150,1776206710.24,464,811,9,16,4,-12.35,walking,0,5,2
151,1776206710.256,468,800,9,16,4,-11.8,walking,0,5,2
152,1776206710.271,472,789,9,16,4,-11.25,walking,0,5,2
153,1776206710.288,476,779,9,16,4,-10.7,walking,0,5,2
154,1776206710.303,480,769,10,16,4,-10.15,walking,0,5,2
155,1776206710.32,484,760,10,15,4,-9.6,walking,0,5,2
156,1776206710.335,488,751,10,15,4,-9.05,walking,0,5,2
157,1776206710.352,490,743,10,15,4,-8.5,walking,0,5,2
158,1776206710.367,490,736,10,15,4,-7.95,walking,0,5,2
159,1776206710.384,490,729,10,15,4,-7.4,walking,0,5,2
160,1776206710.4,490,723,10,15,4,-6.85,walking,0,5,2
161,1776206710.416,490,717,10,14,4,-6.3,walking,0,5,2
162,1776206710.431,490,712,10,14,4,-5.75,walking,0,5,2
163,1776206710.448,490,707,10,14,4,-5.2,walking,0,5,2
164,1776206710.463,490,703,10,14,4,-4.65,walking,0,5,2
165,1776206710.48,494,699,10,14,4,-4.1,walking,0,5,2
166,1776206710.497,498,696,10,14,4,-3.55,walking,0,5,2
167,1776206710.512,502,694,10,14,4,-3.0,walking,0,5,2
168,1776206710.529,506,692,10,14,4,-2.45,walking,0,5,2
169,1776206710.545,510,691,10,14,4,-1.9,walking,0,5,2
170,1776206710.561,514,690,10,14,4,-1.35,walking,0,5,2
171,1776206710.577,518,690,10,14,4,-0.8,walking,0,5,2
172,1776206710.594,522,690,10,14,4,-0.25,walking,0,5,2
173,1776206710.61,526,690,10,14,4,0.3,walking,0,5,2
174,1776206710.626,530,690,11,14,4,0.85,walking,0,5,2
175,1776206710.644,534,691,11,14,4,1.4,walking,0,5,2
176,1776206710.66,538,692,11,14,4,1.95,walking,0,5,2
177,1776206710.677,542,694,11,14,4,2.5,walking,0,5,2
178,1776206710.693,546,697,11,14,4,3.05,walking,0,5,2
179,1776206710.709,550,700,11,14,4,3.6,walking,0,5,2
180,1776206710.726,554,704,11,14,4,4.15,walking,0,5,2
181,1776206710.741,558,704,11,14,4,0,walking,1,5,2
182,1776206710.758,562,704,11,14,4,0.55,walking,0,5,2
183,1776206710.773,566,704,11,14,4,0,walking,1,5,2
184,1776206710.79,570,704,11,14,4,0.55,walking,0,5,2
185,1776206710.806,574,704,11,14,4,0,walking,1,5,2
186,1776206710.822,578,704,12,14,4,0.55,walking,0,5,2
187,1776206710.838,582,704,12,14,4,0,walking,1,5,2
188,1776206710.854,586,704,12,14,4,0.55,walking,0,5,2
189,1776206710.87,590,704,12,14,4,0,walking,1,5,2
190,1776206710.885,594,704,12,14,4,0.55,walking,0,5,2
191,1776206710.902,598,704,12,14,4,0,walking,1,5,2
192,1776206710.918,602,704,12,14,4,0.55,walking,0,5,2
193,1776206710.934,606,704,12,14,4,0,walking,1,5,2
194,1776206710.951,610,704,12,14,4,0.55,walking,0,5,2
195,1776206710.967,614,704,12,14,4,0,walking,1,5,2
196,1776206710.983,618,704,12,14,4,0.55,walking,0,5,2
197,1776206710.999,622,704,12,14,4,0,walking,1,5,2
198,1776206711.015,626,704,13,14,4,0.55,walking,0,5,2
199,1776206711.031,630,704,13,14,4,0,walking,1,5,2
200,1776206711.047,634,704,13,14,4,0.55,walking,0,5,2
201,1776206711.064,638,704,13,14,4,0,walking,1,5,2
202,1776206711.081,642,704,13,14,4,0.55,walking,0,5,2
203,1776206711.096,646,704,13,14,4,0,walking,1,5,2
204,1776206711.113,650,704,13,14,4,0.55,walking,0,5,2
205,1776206711.128,654,704,13,14,4,0,walking,1,5,2
206,1776206711.144,658,704,13,14,4,0.55,walking,0,5,2
207,1776206711.161,662,704,13,14,4,0,walking,1,5,2
208,1776206711.178,658,704,13,14,-4,0.55,walking,0,5,2
209,1776206711.194,654,704,13,14,-4,0,walking,1,5,2
210,1776206711.21,650,704,13,14,-4,0.55,walking,0,5,2
211,1776206711.226,646,704,13,14,-4,0,walking,1,5,2
212,1776206711.243,642,704,13,14,-4,0.55,walking,0,5,2
213,1776206711.259,638,704,13,14,-4,0,walking,1,5,2
214,1776206711.274,634,704,13,14,-4,0.55,walking,0,5,2
215,1776206711.29,630,704,13,14,-4,0,walking,1,5,2
216,1776206711.306,626,704,13,14,-4,0.55,walking,0,5,2
217,1776206711.323,622,704,12,14,-4,0,walking,1,5,2
218,1776206711.339,618,704,12,14,-4,0.55,walking,0,5,2
219,1776206711.355,614,704,12,14,-4,0,walking,1,5,2
220,1776206711.371,610,704,12,14,-4,0.55,walking,0,5,2
221,1776206711.387,606,704,12,14,-4,0,walking,1,5,2
222,1776206711.403,602,704,12,14,-4,0.55,walking,0,5,2
223,1776206711.42,598,704,12,14,-4,0,walking,1,5,2
224,1776206711.436,594,704,12,14,-4,0.55,walking,0,5,2
225,1776206711.452,590,704,12,14,-4,0,walking,1,5,2
226,1776206711.468,586,704,12,14,-4,0.55,walking,0,5,2
227,1776206711.484,582,704,12,14,-4,0,walking,1,5,2
228,1776206711.501,578,704,12,14,-4,0.55,walking,0,5,2
229,1776206711.517,574,704,11,14,-4,0,walking,1,5,2
230,1776206711.533,570,704,11,14,-4,0.55,walking,0,5,2
231,1776206711.549,566,704,11,14,-4,0,walking,1,5,2
