frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,ai_strategy,sees_player,ammo,stun,swap_used
1,1775851952.446,250,752,5,15,2,0.55,IDLE,0,GUARD,0,0,0,0
463,1775851959.896,202,741,4,15,5,-21.45,FLEE,0,GUARD,1,0,0,1
464,1775851959.912,207,721,4,15,5,-20.9,FLEE,0,GUARD,1,0,0,1
465,1775851959.928,212,701,4,14,5,-20.35,FLEE,0,GUARD,1,0,0,1
466,1775851959.945,217,682,4,14,5,-19.8,FLEE,0,GUARD,1,0,0,1
467,1775851959.961,222,663,4,13,5,-19.25,FLEE,0,GUARD,1,0,0,1
468,1775851959.977,227,645,4,13,5,-18.7,FLEE,0,GUARD,1,0,0,1
469,1775851959.993,232,627,4,13,5,-18.15,FLEE,0,GUARD,1,0,0,1
470,1775851960.008,237,610,4,12,5,-17.6,FLEE,0,GUARD,1,0,0,1
471,1775851960.024,242,593,5,12,5,-17.05,FLEE,0,GUARD,1,0,0,1
472,1775851960.04,2645,208,55,4,0,-16.5,FLEE,0,GUARD,0,0,0,1
473,1775851960.056,2645,193,55,4,0,-15.95,FLEE,0,GUARD,0,0,0,1
474,1775851960.073,2645,192,55,4,0,0,FLEE,0,GUARD,0,0,0,1
476,1775851960.105,2645,193,55,4,0,1.1,FLEE,0,GUARD,0,0,0,1
477,1775851960.121,2645,194,55,4,0,1.65,FLEE,0,GUARD,0,0,0,1
478,1775851960.137,2645,196,55,4,0,2.2,FLEE,0,GUARD,0,0,0,1
479,1775851960.153,2645,198,55,4,0,2.75,FLEE,0,GUARD,0,0,0,1
480,1775851960.169,2645,201,55,4,0,3.3,FLEE,0,GUARD,0,0,0,1
481,1775851960.185,2645,204,55,4,0,3.85,FLEE,0,GUARD,0,0,0,1
482,1775851960.201,2645,208,55,4,0,4.4,FLEE,0,GUARD,0,0,0,1
483,1775851960.217,2645,212,55,4,0,4.95,FLEE,0,GUARD,0,0,0,1
484,1775851960.233,2645,217,55,4,0,5.5,FLEE,0,GUARD,0,0,0,1
485,1775851960.25,2645,223,55,4,0,6.05,FLEE,0,GUARD,0,0,0,1
486,1775851960.265,2645,224,55,4,0,0,FLEE,1,GUARD,0,0,0,1
488,1775851960.297,2640,224,55,4,-5,0,FLEE,1,GUARD,0,0,0,1
1184,1775851973.915,2116,176,44,3,0,0,IDLE,0,FAR,0,3,0,0
1186,1775851973.946,2116,177,44,3,0,1.1,IDLE,0,FAR,0,3,0,0
1187,1775851973.962,2116,178,44,3,0,1.65,IDLE,0,FAR,0,3,0,0
1188,1775851973.978,2116,180,44,3,0,2.2,IDLE,0,FAR,0,3,0,0
1189,1775851973.994,2116,182,44,3,0,2.75,IDLE,0,FAR,0,3,0,0
1190,1775851974.01,2116,185,44,3,0,3.3,IDLE,0,FAR,0,3,0,0
1191,1775851974.026,2116,188,44,3,0,3.85,IDLE,0,FAR,0,3,0,0
1192,1775851974.042,2116,192,44,4,0,4.4,IDLE,0,FAR,0,3,0,0
1193,1775851974.058,2116,196,44,4,0,4.95,IDLE,0,FAR,0,3,0,0
1194,1775851974.074,2116,201,44,4,0,5.5,IDLE,0,FAR,0,3,0,0
1195,1775851974.091,2116,207,44,4,0,6.05,IDLE,0,FAR,0,3,0,0
1196,1775851974.107,2116,213,44,4,0,6.6,IDLE,0,FAR,0,3,0,0
1197,1775851974.123,2116,220,44,4,0,7.15,IDLE,0,FAR,0,3,0,0
1198,1775851974.139,2116,227,44,4,0,7.7,IDLE,0,FAR,0,3,0,0
